author,published_at,updated_at,like_count,text,comment,sentiment
@ChristinaK-r6n,2024-06-27T02:37:18Z,2024-06-27T02:37:18Z,0.0,thank you for putting this together it wa super helpful for me,Thank you for putting this together It was super helpful for me,positive
@saloni1148,2024-06-16T07:59:19Z,2024-06-16T07:59:19Z,0.0,can i do this project on google colab,can i do this project on google colab,neutral
@bose19942,2024-06-05T23:27:56Z,2024-06-05T23:27:56Z,0.0,thank you for this video,Thank you for this video,neutral
@swarnimsrijan7470,2024-05-16T19:46:59Z,2024-05-16T19:46:59Z,0.0,what a brilliant lecture really impressed by you sir thanks for helping out i the journey,what a brilliant lecture Really impressed by you sir thanks for helping out I the journey,positive
@deepasinghal4729,2024-05-13T22:04:03Z,2024-05-13T22:04:03Z,0.0,followed till a href no error returned nothing,followed till 1814 no error returned nothing,neutral
@rahulrajeev9763,2024-04-27T20:24:34Z,2024-04-27T20:24:34Z,0.0,thank you so much for this stuff,Thank you so much for this stuff,positive
@mohdsaqib3241,2024-04-27T03:46:50Z,2024-04-27T03:46:50Z,0.0,project link not working,Project link not working,neutral
@yankoshuan6225,2024-04-20T19:11:25Z,2024-04-20T19:11:25Z,0.0,kind youtubea href br etag ruuxztir0oodqi4s0ru6n4fqkem br pageinfo totalresults 0 resultsperpage 5 i get only this out from json formatter techtfq can i continue the project i think i might will be missing most of the important stuff,39kind39 39youtubechannelListResponse39 39etag39 39RuuXzTIr0OoDqI4S0RU6n4FqKEM39 39pageInfo39 39totalResults39 0 39resultsPerPage39 5 i get only this out from json formatter TechTFQ can i continue the project i think i might will be missing most of the important stuff,positive
@user-uv5lr7bk8n,2024-04-18T02:51:14Z,2024-04-18T02:51:14Z,0.0,for a nontech background like me your tutorial is super easy to follow,for a nontech background like me your tutorial is super easy to follow,positive
@najam00717,2024-04-01T13:19:56Z,2024-04-01T13:19:56Z,0.0,why the json is not showing like,Why the Json is not showing 39Likes39,neutral
@Abutturab,2024-03-28T08:51:09Z,2024-03-28T08:51:09Z,0.0,top,top,positive
@ryang8192,2024-03-21T04:15:06Z,2024-03-21T04:15:06Z,1.0,hello i want to ask how to receive video data mp4 from youtube,Hello i want to ask how to receive video data mp4 from youtube,neutral
@VARUNKUMAR-dj6mi,2024-03-04T09:34:34Z,2024-03-04T09:34:34Z,0.0,a href in my scrapping i didint have snippet title name and like and view in this only showing video id and piblished date please any one help me tomorrow i have interview,5445 in my scrapping I didint have snippet title name and likes and views In this only showing video I39d and piblished date please any one help me Tomorrow I have interview,neutral
@VARUNKUMAR-dj6mi,2024-03-04T09:34:25Z,2024-03-04T09:34:25Z,0.0,a href in my scrapping i didint have snippet title name and like and view in this only showing video id and piblished date please any one help me tomorrow i have interview,5445 in my scrapping I didint have snippet title name and likes and views In this only showing video I39d and piblished date please any one help me Tomorrow I have interview,neutral
