author,published_at,updated_at,like_count,text
@ChristinaK-r6n,2024-06-27T02:37:18Z,2024-06-27T02:37:18Z,0,Thank you for putting this together! It was super helpful for me
@saloni1148,2024-06-16T07:59:19Z,2024-06-16T07:59:19Z,0,can i do this project on google colab
@bose19942,2024-06-05T23:27:56Z,2024-06-05T23:27:56Z,0,Thank you for this video
@swarnimsrijan7470,2024-05-16T19:46:59Z,2024-05-16T19:46:59Z,0,"what a brilliant lecture! Really impressed by you sir, thanks for helping out I the journey"
@deepasinghal4729,2024-05-13T22:04:03Z,2024-05-13T22:04:03Z,0,"followed till <a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=1094"">18:14</a> = no error, returned nothing."
@rahulrajeev9763,2024-04-27T20:24:34Z,2024-04-27T20:24:34Z,0,Thank you so much for this stuff.
@mohdsaqib3241,2024-04-27T03:46:50Z,2024-04-27T03:46:50Z,0,Project link not working!
@yankoshuan6225,2024-04-20T19:11:25Z,2024-04-20T19:11:25Z,0,"{&#39;kind&#39;: &#39;youtube<a href=""http://www.youtube.com/results?search_query=%23channellistresponse"">#channelListResponse</a>&#39;,<br> &#39;etag&#39;: &#39;RuuXzTIr0OoDqI4S0RU6n4FqKEM&#39;,<br> &#39;pageInfo&#39;: {&#39;totalResults&#39;: 0, &#39;resultsPerPage&#39;: 5}} i get only this out from json formatter. TechTFQ can i continue the project? i think i might will be missing most of the important stuff"
@user-uv5lr7bk8n,2024-04-18T02:51:14Z,2024-04-18T02:51:14Z,0,"for a non-tech background like me, your tutorial is super easy to follow."
@najam00717,2024-04-01T13:19:56Z,2024-04-01T13:19:56Z,0,Why the Json is not showing &#39;Likes&#39; ?
@Abutturab,2024-03-28T08:51:09Z,2024-03-28T08:51:09Z,0,top !
@ryang8192,2024-03-21T04:15:06Z,2024-03-21T04:15:06Z,1,"Hello. i want to ask, how to receive video data (mp4) from youtube?"
